Bioreactor, 2.9413749859995733, 
Bioreactor Mayer, 5.50417217300128, 
Bryson Denham, 1.518744469000012, 
Bryson Denham Mayer, 3.4977928529988276, 
Cart Pendulum, 49.62542310999925, 
Cart Pendulum Mayer, 60.61433139399924, 
Catalyst Mixing, 6.518000681000558, 
Cushioned Oscillation Mayer, 17.36339629399845, 
Dielectrophoretic Particle Mayer, inf, 
Double Oscillator, 2.8770245619998605, 
Double Oscillator Mayer, 5.70271091199902, 
Ducted Fan, 20.251430884, 
Egerstedt, 34.76662489499904, 
Egerstedt Mayer, 34.23048234399903, 
Electric Car, 2.722707733999414, 
Electric Car Mayer, 3.6797596530013834, 
F8 Aircraft Mayer, 55.340222057000574, 
Fuller, 3.8177710300005856, 
Fuller Mayer, 3.9793058300001576, 
Hang Glider, 11.972584101999018, 
Hanging Chain, 12.517233081000086, 
Lotka Competitive, 3.943451795999863, 
Lotka Competitive Mayer, 7.669889315000546, 
Lotka Shared, 4.355838567000319, 
Lotka Shared Mayer, 5.567436576000546, 
Lotka Volterra, 3.2466345590000856, 
Lotka Volterra Mayer, 5.893836317998648, 
LQR, 1.4533708680010022, 
LQR Mayer, 3.2445592820004094, 
Moon Landing, 8.799444636999397, 
Mountain Car Mayer, 7.879674210000303, 
Ocean, 2.6898477459999413, 
Ocean Mayer, 8.839666998999746, 
Particle Steering Mayer, 11.191122459000326, 
Quadrotor, 152.48198763000073, 
Rao Mease, 1.686520137000116, 
Rao Mease Mayer, 3.371261732001585, 
Three Tank, 6.227082330000485, 
Three Tank Mayer, 8.517522740001368, 
Tubular Reactor Mayer, 7.061766995999278, 
Van der Pol, 3.479032121000273, 
Van der Pol Mayer, 10.221547842000291, 
Lotka OED, 172.9422513280001, 
Dielectr Particle, 212.3962055539996, 
Jackson OED, 128.56346226799997, 
Van der Pol OED, 217.11082637800018, 
